split,feature_group,feature_count,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
cross_condition,vibration_current_plus_nominal_order,189,xgboost,0.9732641660015962,0.9780303184239372,0.9743947858472998,0.9754518115539133,0.973219838581913,0.9162011173184358
cross_condition,vibration_current_all_order,228,random_forest,0.9744612928970472,0.9793281769593892,0.9766061452513966,0.9771085695942078,0.9744394471980286,0.9166666666666666
cross_condition,vibration_current_all_order,228,xgboost,0.9723330673051344,0.9771376158203766,0.9726489757914338,0.974152982677889,0.972279100833732,0.9162011173184358
cross_condition,all_signals_without_order,159,random_forest,0.9760574620909817,0.9805284048871205,0.9790502793296088,0.97895598805946,0.9760161767412242,0.9166666666666666
cross_condition,all_signals_without_order,159,xgboost,0.9733971801010908,0.9780840909826252,0.9767225325884544,0.9766901886807856,0.9733602156351836,0.9175977653631284
cross_condition,all_signals_without_order_plus_context,161,random_forest,0.9759244479914873,0.9804015013338208,0.9789338919925512,0.978839711284994,0.9758832889989776,0.9166666666666666
cross_condition,all_signals_without_order_plus_context,161,xgboost,0.9732641660015962,0.9779602231384914,0.9766061452513968,0.9765739240406546,0.9732273417607482,0.9175977653631284
cross_condition,all_signals_plus_nominal_order_context,215,random_forest,0.9757914338919924,0.9801611006038736,0.9788175046554934,0.9786653467946084,0.9757504295592866,0.9166666666666666
cross_condition,all_signals_plus_nominal_order_context,215,xgboost,0.9735301942005852,0.9782080831296636,0.976838919925512,0.9768064535258532,0.9734930897438324,0.9175977653631284
cross_condition,all_signals_all_order_no_context,252,random_forest,0.9760574620909817,0.9805284048871205,0.9790502793296088,0.97895598805946,0.9760161767412242,0.9166666666666666
cross_condition,all_signals_all_order_no_context,252,xgboost,0.974195264698058,0.978758627303098,0.9774208566108008,0.9773898200875528,0.9741597943857748,0.9189944134078212
cross_condition,all_features,254,random_forest,0.9760574620909817,0.9805284048871205,0.9790502793296088,0.97895598805946,0.9760161767412242,0.9166666666666666
cross_condition,all_features,254,xgboost,0.9743282787975526,0.9788595249433364,0.9775372439478583,0.977506752484402,0.9742934314107452,0.919459962756052
cross_load,context_only,2,random_forest,0.2857142857142857,0.1428571428571428,0.25,0.1769230769230769,0.2021978021978022,0.0
cross_load,context_only,2,xgboost,0.2857142857142857,0.0714285714285714,0.25,0.1111111111111111,0.1269841269841269,0.0
cross_load,vibration_time_only,36,random_forest,0.9261771747805267,0.9078818727199148,0.922486033519553,0.9123754251194314,0.9278325765158546,0.8552141527001862
cross_load,vibration_time_only,36,xgboost,0.926975259377494,0.9137324808348952,0.9238826815642458,0.9180158711511648,0.9276791426583108,0.9022346368715084
cross_load,vibration_time_frequency,60,random_forest,0.9876296887470072,0.989321273964131,0.9877793296089384,0.9884751063380786,0.9876312611761028,0.9711359404096834
cross_load,vibration_time_frequency,60,xgboost,0.9889598297419526,0.9899163587832276,0.9894087523277468,0.9896431213367484,0.9889631408027658,0.9781191806331472
cross_load,vibration_time_frequency_envelope,75,random_forest,0.990289970736898,0.9913208688432876,0.9903398510242086,0.9908013619526836,0.9902883388938546,0.9795158286778398
cross_load,vibration_time_frequency_envelope,75,xgboost,0.9869646182495344,0.988162689720326,0.9878957169459964,0.9880086027612212,0.986961236333687,0.9799813780260708
cross_load,nominal_order_only,54,random_forest,0.9292364990689012,0.9181927164526938,0.9320297951582868,0.9216395897465856,0.93009563722696,0.866852886405959
cross_load,nominal_order_only,54,xgboost,0.9390795424314976,0.9305035319056698,0.9394785847299814,0.9337021808661744,0.9394313161334016,0.9068901303538176
cross_load,keyphase_order_only,39,random_forest,0.967145517424847,0.9697154726221776,0.9599627560521417,0.9642922781729952,0.9671315189062636,0.909683426443203
cross_load,keyphase_order_only,39,xgboost,0.9358872040436286,0.9357159043901744,0.917364990689013,0.9245643787983904,0.9351194710507784,0.7877094972067039
cross_load,all_order_only,93,random_forest,0.9748603351955308,0.9764052179906147,0.975093109869646,0.9754533913580404,0.9748812401168052,0.946927374301676
cross_load,all_order_only,93,xgboost,0.9664804469273744,0.9687944543172934,0.9668296089385476,0.967335187613694,0.9664756381784232,0.9287709497206704
cross_load,vibration_current_no_order,135,random_forest,0.9950784783187018,0.9953475219259496,0.994413407821229,0.99487551373136,0.9950780237036636,0.98975791433892
cross_load,vibration_current_no_order,135,xgboost,0.9534450651769087,0.9621601395720472,0.9581005586592178,0.9582677075538666,0.9533058848279108,0.8645251396648045
cross_load,vibration_current_plus_nominal_order,189,random_forest,0.9952114924181964,0.9954697790988652,0.9945297951582868,0.994992759166494,0.9952120184866738,0.98975791433892
cross_load,vibration_current_plus_nominal_order,189,xgboost,0.9541101356743816,0.9629628217698702,0.9587988826815642,0.9589613952266154,0.9539653462945866,0.8635940409683427
cross_load,vibration_current_all_order,228,random_forest,0.9949454642192072,0.9954696995673448,0.994064245810056,0.9947571988838304,0.9949445568838214,0.9878957169459964
cross_load,vibration_current_all_order,228,xgboost,0.9670125033253524,0.9725664744160208,0.9703212290502794,0.9706455070295282,0.9669855547857809,0.9087523277467412
cross_load,all_signals_without_order,159,random_forest,0.9918861399308326,0.9909425939396808,0.9917364990689014,0.9913349875474146,0.9918869860999288,0.9892923649906892
cross_load,all_signals_without_order,159,xgboost,0.9795158286778398,0.9817813863561586,0.981145251396648,0.9812110084277978,0.9795909795705824,0.9604283054003724
cross_load,all_signals_without_order_plus_context,161,random_forest,0.9783187017823888,0.979730218931941,0.979864990689013,0.9794874781829558,0.9782814845502515,0.940875232774674
cross_load,all_signals_without_order_plus_context,161,xgboost,0.98097898377228,0.982997255800135,0.9824255121042832,0.9824732390424518,0.9810335288444724,0.9590316573556796
cross_load,all_signals_plus_nominal_order_context,215,random_forest,0.9890928438414472,0.9887471694094808,0.989292364990689,0.9890009717501708,0.9890884969428004,0.9795158286778398
cross_load,all_signals_plus_nominal_order_context,215,xgboost,0.9670125033253524,0.9720327035391024,0.9702048417132216,0.9703008603598317,0.9672541394145586,0.9320297951582868
cross_load,all_signals_all_order_no_context,252,random_forest,0.9922851822293164,0.9915156948034254,0.9920856610800746,0.99179790327767,0.992284990117085,0.9892923649906892
cross_load,all_signals_all_order_no_context,252,xgboost,0.9682096302208034,0.9734927524852076,0.9711359404096834,0.9715256564838408,0.9684568941233904,0.9324953445065176
cross_load,all_features,254,random_forest,0.9890928438414472,0.9888625648449956,0.989292364990689,0.9890586349674548,0.9890887851566452,0.9795158286778398
cross_load,all_features,254,xgboost,0.9687416866187816,0.973795640087764,0.971717877094972,0.97204139510192,0.9689792751371163,0.936685288640596
cross_rpm,context_only,2,random_forest,0.3214285714285714,0.1607142857142857,0.2817460317460317,0.2039337474120082,0.2349896480331263,0.0
cross_rpm,context_only,2,xgboost,0.25,0.0625,0.25,0.1,0.1,0.0
cross_rpm,vibration_time_only,36,random_forest,0.4128092577813248,0.5812048081312172,0.4181215083798882,0.3570307434437167,0.3685719500964148,0.0949720670391061
cross_rpm,vibration_time_only,36,xgboost,0.5107741420590582,0.5643705810598774,0.4871142591114658,0.4478625124958171,0.4849325661511734,0.1270949720670391
cross_rpm,vibration_time_frequency,60,random_forest,0.4521149241819633,0.7025506343848213,0.4305167597765363,0.389699335061722,0.4158436702366879,0.0824022346368715
cross_rpm,vibration_time_frequency,60,xgboost,0.7104948124501197,0.8178622863342084,0.6282422186751797,0.612078976266963,0.6778085327316651,0.074022346368715
cross_rpm,vibration_time_frequency_envelope,75,random_forest,0.4680766161213088,0.7204539484742265,0.4453561452513966,0.40412943990815,0.4319063440815461,0.0824022346368715
cross_rpm,vibration_time_frequency_envelope,75,xgboost,0.6793695131683959,0.788848751608183,0.6044881174071118,0.5865030037258762,0.6507442299113336,0.0712290502793296
cross_rpm,nominal_order_only,54,random_forest,0.269952114924182,0.726015332473264,0.2677656956637403,0.1367545895398785,0.140815185515575,0.0055865921787709
cross_rpm,nominal_order_only,54,xgboost,0.2611731843575419,0.3451079226228575,0.2607492019154031,0.1256363150997189,0.1263106488775569,0.0
cross_rpm,keyphase_order_only,39,random_forest,0.3164405426975259,0.5970720516479653,0.3135779684313203,0.2215283016777349,0.2275591872945588,0.0726256983240223
cross_rpm,keyphase_order_only,39,xgboost,0.3238228252194732,0.7160106205006416,0.3180477963997516,0.2315241831754345,0.2412905810313208,0.0558659217877094
cross_rpm,all_order_only,93,random_forest,0.2978850758180367,0.646432607500896,0.2957291389553959,0.1902694655015718,0.1942125955851428,0.0460893854748603
cross_rpm,all_order_only,93,xgboost,0.2677573822825219,0.4357865904606518,0.2688436640950607,0.139337799652357,0.1372972974579007,0.0099317194289261
cross_rpm,vibration_current_no_order,135,random_forest,0.4814445331205108,0.7421554169156042,0.4568147556974373,0.4168848017506146,0.4469819987601266,0.0824022346368715
cross_rpm,vibration_current_no_order,135,xgboost,0.6791699920191541,0.7901177612945274,0.6050423428216725,0.5883961401665754,0.651183049360678,0.0754189944134078
cross_rpm,vibration_current_plus_nominal_order,189,random_forest,0.4684756584197925,0.7211178654342727,0.4454725325884544,0.4040928324419974,0.4321104070472739,0.0810055865921787
cross_rpm,vibration_current_plus_nominal_order,189,xgboost,0.6801675977653632,0.788245473548508,0.6063558570541812,0.5888265876532517,0.6521583026869542,0.0754189944134078
cross_rpm,vibration_current_all_order,228,random_forest,0.4409417398244213,0.6278989455222288,0.4218653010552452,0.3778079802393774,0.4015132132215422,0.0837988826815642
cross_rpm,vibration_current_all_order,228,xgboost,0.6344772545889864,0.770165953457178,0.5667897047086992,0.5515310980518331,0.6098711923922738,0.074022346368715
cross_rpm,all_signals_without_order,159,random_forest,0.6977254588986432,0.8204031342280079,0.7627804380597677,0.6866004797074334,0.6258607417296908,0.0962135319677219
cross_rpm,all_signals_without_order,159,xgboost,0.8401835594573025,0.8796744283399041,0.7654351777955131,0.7568711492041011,0.8111851898957734,0.2150837988826815
cross_rpm,all_signals_without_order_plus_context,161,random_forest,0.6995211492418196,0.8154499255181622,0.7640357586237474,0.6903220245722409,0.6305510480250741,0.1055245189323401
cross_rpm,all_signals_without_order_plus_context,161,xgboost,0.8413806863527534,0.8810805888853172,0.7652218010109071,0.7555781320862301,0.8114576905309107,0.2067039106145251
cross_rpm,all_signals_plus_nominal_order_context,215,random_forest,0.6959297685554668,0.8213329418039369,0.7612923428216724,0.6861177071513545,0.6250844125604815,0.0943513345747982
cross_rpm,all_signals_plus_nominal_order_context,215,xgboost,0.8449720670391061,0.8843757469591935,0.7685000443380332,0.7596441364870509,0.8155170744466694,0.2108938547486033
cross_rpm,all_signals_all_order_no_context,252,random_forest,0.6917398244213887,0.7977853520435304,0.7581443424669682,0.6837409543840713,0.6223300347433265,0.0937306021104903
cross_rpm,all_signals_all_order_no_context,252,xgboost,0.809656823623304,0.8689499183956686,0.7223718630841535,0.68945395121474,0.767626286251715,0.0810055865921787
cross_rpm,all_features,254,random_forest,0.6983240223463687,0.8047903553939414,0.7634261106677308,0.6921477843756525,0.632636346560148,0.1098696461824953
cross_rpm,all_features,254,xgboost,0.7883080606544294,0.854724275521361,0.7060194422275428,0.6732957358023492,0.7478773752117249,0.0810055865921787
source_file,context_only,2,random_forest,0.0833333333333333,0.0416666666666666,0.0833333333333333,0.0555555555555555,0.0555555555555555,0.0
source_file,context_only,2,xgboost,0.0833333333333333,0.0357142857142857,0.0833333333333333,0.05,0.05,0.0
source_file,vibration_time_only,36,random_forest,0.957169459962756,0.9560695267187048,0.9414571694599628,0.9463547558781122,0.9563515795260532,0.8016759776536313
source_file,vibration_time_only,36,xgboost,0.963221601489758,0.9602507281680648,0.9533286778398512,0.9561834863797258,0.9628002339228484,0.8687150837988827
source_file,vibration_time_frequency,60,random_forest,0.99487895716946,0.994670422331202,0.9946461824953444,0.994646747587924,0.9948801742919392,0.988826815642458
source_file,vibration_time_frequency,60,xgboost,0.9860335195530726,0.9865820769922756,0.9813780260707636,0.9836515778931408,0.9860017313133816,0.9385474860335196
source_file,vibration_time_frequency_envelope,75,random_forest,0.9962756052141528,0.9960531432969698,0.9967411545623835,0.9963927832878352,0.996274604914673,0.9916201117318436
source_file,vibration_time_frequency_envelope,75,xgboost,0.9869646182495344,0.9873105917320842,0.982891061452514,0.9848291539344324,0.9869317034660816,0.9441340782122905
source_file,nominal_order_only,54,random_forest,0.9324953445065176,0.9189562890872836,0.9177141527001862,0.9171018463189772,0.9323340838532812,0.8184357541899442
source_file,nominal_order_only,54,xgboost,0.9553072625698324,0.949641793348611,0.9497206703910616,0.9494382419761246,0.9552219268459884,0.9180633147113594
source_file,keyphase_order_only,39,random_forest,0.9664804469273744,0.966707608179239,0.9560055865921788,0.9602345813181944,0.9660412463327268,0.8659217877094972
source_file,keyphase_order_only,39,xgboost,0.9553072625698324,0.948894738246007,0.9458798882681564,0.9470987027718074,0.955003475775822,0.8687150837988827
source_file,all_order_only,93,random_forest,0.9678770949720672,0.9668171371904896,0.9557728119180632,0.959932713734944,0.9674465027935444,0.8519553072625698
source_file,all_order_only,93,xgboost,0.9799813780260708,0.9812443204303528,0.974743947858473,0.9777223403321876,0.9798625874292068,0.9329608938547486
source_file,vibration_current_no_order,135,random_forest,0.9878957169459964,0.9880326838294724,0.9852188081936684,0.9864501049468396,0.987885594811502,0.9553072625698324
source_file,vibration_current_no_order,135,xgboost,0.9753258845437616,0.9767485503088305,0.9661312849162011,0.9701693725020296,0.9751413612975478,0.8798882681564246
source_file,vibration_current_plus_nominal_order,189,random_forest,0.9906890130353816,0.9910133262928896,0.989641527001862,0.990266661563082,0.9906845176265974,0.9748603351955308
source_file,vibration_current_plus_nominal_order,189,xgboost,0.979050279329609,0.979982558496633,0.9712523277467412,0.974746138256779,0.978923144046688,0.8994413407821229
source_file,vibration_current_all_order,228,random_forest,0.9930167597765364,0.9933995010425548,0.9920856610800746,0.992714410084052,0.9930127995355996,0.9804469273743016
source_file,vibration_current_all_order,228,xgboost,0.988826815642458,0.9891817608466236,0.9855679702048418,0.987203237662066,0.9888165198089972,0.9553072625698324
source_file,all_signals_without_order,159,random_forest,0.99487895716946,0.9949960422636124,0.99487895716946,0.9949371626083614,0.9948793344269344,0.994413407821229
source_file,all_signals_without_order,159,xgboost,0.9967411545623835,0.9968620830917873,0.9970903165735568,0.9969746303234908,0.99674169332394,0.9958100558659218
source_file,all_signals_without_order_plus_context,161,random_forest,0.994413407821229,0.9945297951582868,0.9945297951582868,0.9945297951582868,0.994413407821229,0.9930167597765364
source_file,all_signals_without_order_plus_context,161,xgboost,0.9972067039106144,0.9975584619218708,0.9975558659217876,0.997556731656504,0.997207569645331,0.9958100558659218
source_file,all_signals_plus_nominal_order_context,215,random_forest,0.99487895716946,0.9949960422636124,0.99487895716946,0.9949371626083614,0.9948793344269344,0.994413407821229
source_file,all_signals_plus_nominal_order_context,215,xgboost,0.9972067039106144,0.997326497368852,0.99743947858473,0.9973815124754596,0.9972069721928276,0.9962756052141528
source_file,all_signals_all_order_no_context,252,random_forest,0.9958100558659218,0.9960428158978498,0.995693668528864,0.9958672022350656,0.99580978117276,0.994413407821229
source_file,all_signals_all_order_no_context,252,xgboost,0.9972067039106144,0.997326497368852,0.99743947858473,0.9973815124754596,0.9972069721928276,0.9962756052141528
source_file,all_features,254,random_forest,0.9958100558659218,0.9960428158978498,0.995693668528864,0.9958672022350656,0.99580978117276,0.994413407821229
source_file,all_features,254,xgboost,0.9962756052141528,0.9963937199890768,0.9963919925512104,0.9963924244095538,0.996276037072496,0.9958100558659218
