run_id,configuration,setting,seed,severity_group,recording_count,recording_accuracy,recording_macro_f1,evidence_status
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,45,Light,12,0.6666666666666666,0.5555555555555555,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,45,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,46,High,12,0.5833333333333334,0.4908424908424909,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,46,Light,12,0.6666666666666666,0.5555555555555555,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,46,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,42,High,12,0.5,0.5171957671957671,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,42,Light,12,1.0,1.0,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,42,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,43,High,12,0.3333333333333333,0.26666666666666666,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,43,Light,12,0.6666666666666666,0.5555555555555555,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,43,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,44,High,12,0.5833333333333334,0.5674603174603173,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,44,Light,12,0.75,0.7090909090909091,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,44,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,45,High,12,0.25,0.1818181818181818,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,45,Light,12,0.5833333333333334,0.4908424908424909,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,45,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,46,High,12,0.3333333333333333,0.26666666666666666,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,46,Light,12,0.75,0.7090909090909091,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_engineered_254,full_engineered_features_254,46,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
