split_name,split_file,seed,model,setting,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,epochs_ran,best_val_macro_f1,parameter_count,scalar_feature_count,train_time_sec,inference_time_ms_per_sample,prediction_path,checkpoint,setting_label,evidence_status
cross_condition,mcc5_postfix_cross_condition_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,0.9451981910082468,0.9572411023230682,0.9519320297951585,0.9507821648501048,0.944742649958922,0.8165735567970205,28,0.9628802596167428,68452,2,28.94214630126953,0.065286224844228,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_condition_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_only_cross_condition_seed44.pt,context_2,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,0.9924181963288108,0.993180160091144,0.9906890130353818,0.9918891797149474,0.992409583049872,0.978584729981378,24,0.9785786648161504,69220,26,25.01145315170288,0.0635923049208267,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_condition_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_auxiliary_only_cross_condition_seed42.pt,auxiliary_26,posthoc_exploratory_same_holdout
cross_condition,mcc5_postfix_cross_condition_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,0.9755254056930036,0.9802744425385934,0.9783519553072624,0.9784393554256868,0.9754924014078143,0.915270018621974,15,0.9768547513937385,69220,26,15.497591257095335,0.0644842656757895,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_condition_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_auxiliary_only_cross_condition_seed43.pt,auxiliary_26,posthoc_exploratory_same_holdout
cross_condition,mcc5_postfix_cross_condition_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,0.9724660814046288,0.9773129151775962,0.9756750465549348,0.9757672823970932,0.9724386036608504,0.9166666666666666,18,0.973949676805416,69220,26,18.59019541740417,0.065034613643564,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_condition_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_auxiliary_only_cross_condition_seed44.pt,auxiliary_26,posthoc_exploratory_same_holdout
cross_condition,mcc5_postfix_cross_condition_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.9986698590050546,0.9988373714767604,0.9980214152700186,0.9984264998739512,0.9986687856035924,0.9934823091247672,15,0.9747741011224692,69284,28,15.68051052093506,0.0678922750113269,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_condition_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_cross_condition_seed42.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
cross_condition,mcc5_postfix_cross_condition_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.9965416334131418,0.9965150745415364,0.995693668528864,0.9960979408497964,0.996541371246768,0.98975791433892,25,0.9750214215628066,69284,28,25.774884700775143,0.0657153338883651,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_condition_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_cross_condition_seed43.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
cross_condition,mcc5_postfix_cross_condition_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.9735301942005852,0.9665852553783588,0.9766061452513968,0.9706071864917176,0.9736206641013786,0.931098696461825,30,0.9721330478383716,69284,28,31.039516925811768,0.0649280261409888,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_condition_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_cross_condition_seed44.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
cross_condition,mcc5_postfix_cross_condition_split.csv,42,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.958366586858207,0.9645189859717554,0.9633379888268156,0.9633748321863091,0.9583422794352282,0.9269087523277468,23,0.98697587179317,76772,262,24.07981896400452,0.0639239281027454,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_condition_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_cross_condition_seed42.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,43,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.9635541367384944,0.9686590342209802,0.9662476722532588,0.967033217767149,0.9635286580345944,0.9250465549348232,13,0.9666731530107312,76772,262,13.468701362609863,0.0661650564036936,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_condition_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_cross_condition_seed43.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,44,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.9658153764299016,0.9709248931239464,0.9658985102420856,0.9677239976635904,0.9656810547700122,0.914804469273743,14,0.9876767831727956,76772,262,14.5290949344635,0.065144087032106,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_condition_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_cross_condition_seed44.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current,0.8071295557329077,0.8053926342701591,0.8023743016759777,0.7945111048166367,0.8062007844027925,0.6964618249534451,11,0.9108595344831966,68420,0,11.689728260040283,0.0646427991257667,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_load_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_load_seed42.pt,no_scalars,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current,0.7958233572758713,0.8453516832557504,0.808659217877095,0.808216646546527,0.7938060376116153,0.5595903165735568,30,0.9830309010007144,68420,0,30.97499966621399,0.0649635130244704,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_load_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_load_seed43.pt,no_scalars,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current,0.8876030859271082,0.8914610784411116,0.8897811918063314,0.8831932560051945,0.8884080217958819,0.771415270018622,20,0.9872198985404006,68420,0,20.638754844665527,0.0644413579426791,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_load_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_load_seed44.pt,no_scalars,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,0.7391593508911944,0.8299245199948804,0.7099627560521415,0.728954194201459,0.7383178398867533,0.505586592178771,12,0.9262323422517836,68452,2,12.650997161865234,0.0649088714692972,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed42.pt,context_2,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,0.889731311519021,0.9002281813592312,0.8904795158286779,0.8882495848730146,0.8905471230306282,0.7797951582867784,30,0.9827872162233784,68452,2,30.963229179382324,0.0652649453993521,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed43.pt,context_2,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,0.879489225857941,0.888120209817024,0.8824487895716946,0.875561978328671,0.880040495436671,0.7388268156424581,17,0.948618710323236,68452,2,17.55529284477234,0.065707215352019,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed44.pt,context_2,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,0.9275073157754722,0.9414503023722048,0.9356378026070764,0.9356081050646023,0.928586762106164,0.8584729981378026,9,0.9845320690363444,69220,26,10.274688720703123,0.0725888800005799,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed42.pt,auxiliary_26,posthoc_exploratory_same_holdout
cross_load,mcc5_postfix_cross_load_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,0.9103484969406758,0.9283819025035996,0.9208566108007448,0.918699370545921,0.9109248907768548,0.7863128491620112,26,0.9839722045206348,69220,26,29.375666618347168,0.0751806275899754,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed43.pt,auxiliary_26,posthoc_exploratory_same_holdout
cross_load,mcc5_postfix_cross_load_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,0.86512370311253,0.9068694345196536,0.8811685288640597,0.8784018884425943,0.8650640369606751,0.6475791433891993,15,0.987302383894046,69220,26,17.103050231933594,0.0713753490950332,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed44.pt,auxiliary_26,posthoc_exploratory_same_holdout
cross_load,mcc5_postfix_cross_load_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.9361532322426176,0.9464949041225756,0.9433193668528864,0.941839169698816,0.9363521871169092,0.840782122905028,18,0.9871367756904544,69284,28,18.81606125831604,0.0660699807319529,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_load_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_cross_load_seed42.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
cross_load,mcc5_postfix_cross_load_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.9523809523809524,0.950323598004144,0.9577513966480448,0.9529348124271386,0.9521662631875244,0.8957169459962756,10,0.9861480136343784,69284,28,10.38631272315979,0.0669597850006988,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_load_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_cross_load_seed43.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
cross_load,mcc5_postfix_cross_load_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.8933226922053737,0.8833429621269497,0.9059590316573556,0.887770438482114,0.8957233972212532,0.8375232774674115,19,0.987306082130298,69284,28,19.64878511428833,0.068919904119761,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_load_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_cross_load_seed44.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
cross_load,mcc5_postfix_cross_load_split.csv,42,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.9808459696727854,0.9799565232107345,0.9824255121042832,0.981073278709399,0.980868803660518,0.962756052141527,21,0.9849442255544132,76772,262,22.17384696006775,0.0653721671625793,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_load_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_cross_load_seed42.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,43,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.967411545623836,0.9558718195078784,0.9705540037243948,0.9616650685320702,0.9680473287063904,0.9450651769087524,27,0.987163005020492,76772,262,28.28714370727539,0.0686954709880369,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_load_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_cross_load_seed43.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,44,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.9356211758446396,0.9228669054900496,0.943086592178771,0.928420789901542,0.9375470456595288,0.9036312849162011,28,0.9924443040164816,76772,262,31.749829053878784,0.0767850216223414,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_load_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_cross_load_seed44.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_rpm,mcc5_postfix_cross_rpm_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current,0.5833998403830806,0.754287106855203,0.5736039061807219,0.5599468134874344,0.5543553983984688,0.2451117318435754,12,0.9953426075105284,68420,0,19.15719962120056,0.0806292437213188,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_rpm_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_rpm_seed42.pt,no_scalars,corrected_formal_train_only_zscore
