split_name,setting,setting_label,model,scalar_feature_count,evidence_status,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,worst_class_recall_mean,worst_class_recall_std,best_val_macro_f1_mean,best_val_macro_f1_std,train_time_sec_mean,train_time_sec_std,inference_time_ms_per_sample_mean,inference_time_ms_per_sample_std
cross_load,vibration_current_rpm_load,auxiliary_context_28,OrderNormalizedMultisourceFusionNet,28,posthoc_exploratory_same_holdout,0.927285625609648,0.0305113972031666,0.9267204880845564,0.0376147848971893,0.9356765983860956,0.0267286587806032,0.9275148068693562,0.0348638700629212,0.9280806158418956,0.0291163776617188,0.8580074487895718,0.0326980068671375,0.986863623818377,0.0006254915021204,16.283719698588055,5.124247655065941,0.0673165566174709,0.0014580741815814
cross_load,vibration_current_rpm_load_only,context_2,OrderNormalizedMultisourceFusionNet,2,corrected_formal_train_only_zscore,0.8361266294227189,0.0841321276863357,0.8727576370570452,0.0375853386530248,0.8276303538175047,0.1019822083206533,0.8309219191343815,0.0885342111048216,0.8363018194513508,0.0850190713565852,0.6747361887026692,0.1479131190189151,0.952546089599466,0.0284812512623701,20.389839728673294,9.479475322696873,0.0652936774068894,0.0003999467276559
cross_rpm,full_engineered_features_254,full_engineered_254,OrderNormalizedMultisourceFusionNet,254,corrected_formal_train_only_zscore,0.5018355945730247,0.0816245630371401,0.6763548987707395,0.0563571775514191,0.4598762968874701,0.0704583045240058,0.4001116701727487,0.0813379785782228,0.4391985325001349,0.090213490834469,0.0256983240223463,0.0044823481943802,0.998137533724288,0.0005206510533595,28.89304189682007,10.928965059971862,0.0739030331872694,0.0056125942220994
cross_rpm,full_multisource_fusion,full_fusion_legacy_262,OrderNormalizedMultisourceFusionNet,262,corrected_formal_train_only_zscore,0.5387470071827615,0.0725342941029272,0.6874170816132705,0.0533093533522793,0.4945796754455973,0.0616635751982614,0.4556697793682499,0.0783901019966661,0.4879616224117302,0.0804461989754271,0.0849162011173184,0.062110808777728,0.9978579462035276,0.0001035649408496,28.440593242645264,9.232447452970089,0.0689474183468464,0.0004887014128843
cross_rpm,vibration_current,no_scalars,OrderNormalizedMultisourceFusionNet,0,corrected_formal_train_only_zscore,0.7150438946528332,0.1014052771046335,0.8112756250291848,0.0493302725595094,0.7114458632615057,0.0931420642345417,0.7081433312116023,0.0985579332871682,0.704910518499652,0.1077322997942727,0.4324022346368715,0.1507340126322344,0.99671931979713,0.00125393512744,29.67220768928528,8.950961000935628,0.0720002797728809,0.0065491423022589
cross_rpm,vibration_current_auxiliary_only,auxiliary_26,OrderNormalizedMultisourceFusionNet,26,posthoc_exploratory_same_holdout,0.9068236233040702,0.0259373657040806,0.9195421955555168,0.020910482760065,0.9217777334397448,0.0233772615412196,0.9161588374623776,0.0245087616568345,0.9074468259560032,0.0255361583097932,0.8179081315952825,0.0592721906777343,0.9967878042257584,0.0002409939598177,24.751136112213132,7.274789441502917,0.068874199297175,0.0005934510941682
cross_rpm,vibration_current_rpm_load,auxiliary_context_28,OrderNormalizedMultisourceFusionNet,28,posthoc_exploratory_same_holdout,0.9007581803671189,0.0312715907456493,0.917143369714008,0.0201500805657662,0.9148072404008156,0.0265918563167147,0.9094895042048196,0.0283940566700602,0.9006989509777192,0.0309929174739903,0.7823711980136561,0.0818176287437315,0.996601306628532,0.000238056446863,17.99856753349304,3.303209320551016,0.0705626328659361,0.0025186428473299
cross_rpm,vibration_current_rpm_load_only,context_2,OrderNormalizedMultisourceFusionNet,2,corrected_formal_train_only_zscore,0.7299281723862729,0.0381488924462786,0.7988548384738343,0.0239204249635868,0.7093481200673939,0.0449455610134344,0.7123867613426359,0.0528775623712504,0.7192278842852446,0.0442386805320261,0.4272346368715084,0.0964349824785346,0.9936934095562248,0.001116210640364,32.13665118217468,10.23327611090392,0.071659586663638,0.0037427324120812
source_file,full_engineered_features_254,full_engineered_254,OrderNormalizedMultisourceFusionNet,254,corrected_formal_train_only_zscore,0.9937926753569212,0.0014222767520036,0.9940179173057708,0.0014290611406544,0.993753879577902,0.0010496391417184,0.9938701619847596,0.001072518711166,0.993793252867622,0.0014205551753238,0.9863438857852266,0.0043005606643546,0.9773808384468128,0.0027220840810052,42.68360209465027,17.406204561695564,0.0734406180591926,0.0034559858034965
source_file,full_multisource_fusion,full_fusion_legacy_262,OrderNormalizedMultisourceFusionNet,262,corrected_formal_train_only_zscore,0.994413407821229,0.0008063551245665,0.994892894107451,0.0007139185745055,0.9937926753569212,0.0016839334585824,0.994328714469451,0.0012051296940237,0.9944110298706704,0.0008126470040479,0.9882060831781502,0.009186001605803,0.9817383540556448,0.0141655424369833,29.81821886698405,5.809376018244393,0.0654000957732907,0.0006130043115018
source_file,vibration_current,no_scalars,OrderNormalizedMultisourceFusionNet,0,corrected_formal_train_only_zscore,0.883302296710118,0.0032699111585513,0.919033280945048,0.0015557120908704,0.9106921166977034,0.0036847821630664,0.8990733737358347,0.0028856187143808,0.8826479936756936,0.0028645722238319,0.6638733705772811,0.0044895953263467,0.9460970230784456,0.041163026459748,39.7057998975118,11.513629277280977,0.0660142715046821,0.0007332508072997
source_file,vibration_current_auxiliary_only,auxiliary_26,OrderNormalizedMultisourceFusionNet,26,posthoc_exploratory_same_holdout,0.9934823091247672,0.0013966480446927,0.9943022792205156,0.0013443123378802,0.9936762880198632,0.0012820229393124,0.9939861912078752,0.00130974604735,0.9934834409270596,0.0013969972617654,0.989447548106766,0.0028445535040073,0.9843864431019576,0.0019272387011086,45.21304233868917,7.542938430622279,0.0620607187258094,0.0027671828003538
source_file,vibration_current_rpm_load,auxiliary_context_28,OrderNormalizedMultisourceFusionNet,28,posthoc_exploratory_same_holdout,0.9914649286157666,0.0016349555792756,0.9923428616958732,0.001616263613966,0.9915813159528244,0.0015715882294016,0.991943366122474,0.0016041495174999,0.991460404764954,0.0016387496590051,0.9807572936064556,0.0056891070080147,0.9799417836999208,0.0063256538483409,45.74815042813619,6.631256860228764,0.0679130364766703,0.0021316338731332
source_file,vibration_current_rpm_load_only,context_2,OrderNormalizedMultisourceFusionNet,2,corrected_formal_train_only_zscore,0.8247982619491,0.0411407972350738,0.8706238413426565,0.0498504058913566,0.8556797020484171,0.0419490382538557,0.8455025752734375,0.0375097295871586,0.8247284452376706,0.0396076385066888,0.5986964618249534,0.0677674202650388,0.9435761475502576,0.0186201903777811,26.690703948338825,3.126874316683879,0.0663347898396847,0.0002538182199541
