split_name,model,setting,run_tag,sequence_length,scalar_feature_count,setting_label,evidence_status,aggregation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,worst_class_recall_mean,worst_class_recall_std
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,mean_probability,0.9285714285714286,0.0564692439315782,0.93676802772391,0.051297180404964,0.8277777777777778,0.1438690462508728
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,,,2.0,context_2,corrected_formal_train_only_zscore,majority_vote,0.75,0.0798595706249924,0.7250631386157702,0.0929830492064544,0.4,0.1369306393762915
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,,,2.0,context_2,corrected_formal_train_only_zscore,mean_probability,0.7571428571428571,0.0814411017927955,0.7305809867806772,0.0916965509300261,0.4,0.1369306393762915
cross_rpm,cnn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.75,0.1889822365046136,0.723246336996337,0.2491333398070973,0.4722222222222221,0.4110735718596873
cross_rpm,cnn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.75,0.1889822365046136,0.723314419785008,0.2492011363168296,0.4722222222222221,0.4110735718596873
cross_rpm,cnn,vib_current,sensitivity12800,12800.0,,vib_current,corrected_input_length_sensitivity,majority_vote,0.7976190476190476,0.0824786098842322,0.7715848035120482,0.1028013774265688,0.5,0.25
cross_rpm,cnn,vib_current,sensitivity12800,12800.0,,vib_current,corrected_input_length_sensitivity,mean_probability,0.7976190476190476,0.0824786098842322,0.7715848035120482,0.1028013774265688,0.5,0.25
cross_rpm,cnn,vib_current,sensitivity8192,8192.0,,vib_current,corrected_input_length_sensitivity,majority_vote,0.75,0.1889822365046136,0.723246336996337,0.2491333398070973,0.4722222222222221,0.4110735718596873
cross_rpm,cnn,vib_current,sensitivity8192,8192.0,,vib_current,corrected_input_length_sensitivity,mean_probability,0.75,0.1889822365046136,0.723314419785008,0.2492011363168296,0.4722222222222221,0.4110735718596873
cross_rpm,tcn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.5238095238095238,0.0412393049421161,0.4966354633021299,0.052798371273592,0.0833333333333333,0.0721687836487032
cross_rpm,tcn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.5238095238095238,0.0545544725589981,0.5107346357346357,0.0580727962379575,0.0833333333333333,0.0721687836487032
cross_rpm,transformer,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.4761904761904762,0.114805366202297,0.3953500486453769,0.1284312024837043,0.0833333333333333,0.0721687836487032
cross_rpm,transformer,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.4880952380952381,0.1030982623552903,0.4048462871738734,0.1144615285890495,0.0833333333333333,0.0721687836487032
source_file,OrderNormalizedMultisourceFusionNet,full_engineered_features_254,,,254.0,full_engineered_254,corrected_formal_train_only_zscore,majority_vote,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,full_engineered_features_254,,,254.0,full_engineered_254,corrected_formal_train_only_zscore,mean_probability,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,,,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,majority_vote,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,,,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,mean_probability,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current,,,0.0,no_scalars,corrected_formal_train_only_zscore,majority_vote,0.9166666666666666,0.0,0.9285714285714284,0.0,0.75,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current,,,0.0,no_scalars,corrected_formal_train_only_zscore,mean_probability,0.9166666666666666,0.0,0.9285714285714284,0.0,0.75,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,,,26.0,auxiliary_26,posthoc_exploratory_same_holdout,majority_vote,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,,,26.0,auxiliary_26,posthoc_exploratory_same_holdout,mean_probability,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,majority_vote,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,mean_probability,1.0,0.0,1.0,0.0,1.0,0.0
source_file,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,,,2.0,context_2,corrected_formal_train_only_zscore,majority_vote,0.8611111111111112,0.0481125224324687,0.878968253968254,0.0429576093147043,0.6388888888888888,0.1272937693043288
source_file,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,,,2.0,context_2,corrected_formal_train_only_zscore,mean_probability,0.8333333333333334,0.0833333333333332,0.8561507936507936,0.0714492364286938,0.5833333333333334,0.1443375672974064
source_file,cnn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.8611111111111112,0.0481125224324687,0.878968253968254,0.0429576093147043,0.5833333333333334,0.1443375672974064
source_file,cnn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.8333333333333334,0.0,0.8541666666666666,0.0,0.5,0.0
source_file,tcn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.8888888888888888,0.0481125224324687,0.9037698412698412,0.0429576093147043,0.6666666666666666,0.1443375672974064
source_file,tcn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.8611111111111112,0.0481125224324687,0.878968253968254,0.0429576093147043,0.5833333333333334,0.1443375672974064
source_file,transformer,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.9444444444444444,0.0481125224324688,0.9523809523809524,0.0412393049421161,0.8333333333333334,0.1443375672974064
source_file,transformer,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.9444444444444444,0.0481125224324688,0.9523809523809524,0.0412393049421161,0.8333333333333334,0.1443375672974064
